"Location_ID","Location_Name","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"60A070","KETTLE RIVER NEAR BARSTOW","Channeled, flowing water","LOCATED 10.9 MILES FROM THE MOUTH OF THE KETTLE RIVER, .75 MILES EAST OF BARSTOW ON THE FERRY-STEVENS COUNTY LINE",,"N","","","WA","","FERRY","Kettle","Eastern Regional Office",5,7,"17020002000022",46.489674628,2/21/2012 12:00:00 AM,48.78463,-118.12527,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",38,"N",37,"E",16,"SW","SW","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005",1/1/1753 12:00:00 AM,1242740
"46A070","ENTIAT RIVER NEAR ENTIAT","Channeled, flowing water","LOCATED AT A PRIVATE BRIDGE 1.2 MILES FROM HIGHWAY 97 JUST OFF THE ENTIAT RIVER ROAD APPROXIMATELY 1.5 MILES WEST OF ENTIAT",,"N","","","WA","","CHELAN","Entiat","Central Regional Office",8,12,"17020010000155",99.753625072,7/20/2012 12:00:00 AM,47.66318,-120.25063,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",21,"E",18,"","","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005",1/1/1753 12:00:00 AM,7060740
"49A070","OKANOGAN RIVER AT MALOTT","Channeled, flowing water","LOCATED AT THE MALOTT BRIDGE CROSSING THE OKANOGAN RIVER, JUST WEST OF HIGHWAY 97",,"N","","","WA","","OKANOGAN","Okanogan","Central Regional Office",4,12,"17020006000055",17.192294313,1/27/2014 10:51:39 AM,48.28126,-119.7045,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",32,"N",25,"E",9,"SW","SE","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005",1/1/1753 12:00:00 AM,8590740
"34B110","SOUTH PALOUSE RIVER AT PULLMAN","Channeled, flowing water","LOCATED AT THE BRIDGE ON STATE STREET ONE BLOCK NORTH OF US HIGHWAY 195 AT PULLMAN",,"N","","","WA","","Whitman","Palouse","Eastern Regional Office",5,9,"17060108000228",8.4941024592,2/16/2012 12:00:00 AM,46.7324762209414,-117.1809492,"stream center","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",14,"N",45,"E",6,"NE","NE","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, FLOW9798, FLOW9899, FMUFLOW&WQ, JICA0000, JROSL003, JROSL006",1/1/1753 12:00:00 AM,7103702
"41A070","CRAB CREEK NEAR BEVERLY","Channeled, flowing water","LOCATED 6 MILES FROM THE MOUTH OF CRAB CREEK AT THE BRIDGE ON LOWER CRAB CREEK ROAD, ABOUT 5.6 MILES FROM BEVERLY",,"N","","","WA","","Grant","Lower Crab","Eastern Regional Office",4,13,"17020015003192",64.332728535,7/20/2012 12:00:00 AM,46.8299170009412,-119.830889,"Centroid of monitoring area","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",16,"N",24,"E",33,"SW","NW","Land Surface",523.27,"FT","NAVD88","+/- 10 ft (3 m)","Digital elevation model (DEM) - source unspecified","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, FMUFLOW&WQ",1/1/1753 12:00:00 AM,8355640
"45A110","WENATCHEE RIVER NEAR LEAVENWORTH","Channeled, flowing water","LOCATED AT THE UPPER END OF TUMWATER CANYON ON THE US HIGHWAY 2 BRIDGE AT TUMWATER CAMPGROUND APPROXIMATELY 8 MILES WEST OF LEAVENWORTH",,"N","","","WA","","Chelan","Wenatchee","Central Regional Office",8,12,"17020011000117",40.8059246,2/21/2012 12:00:00 AM,47.676369000939,-120.734018,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",25,"N",17,"E",9,"SW","NE","Land Surface",1660.9,"FT","NAVD88","+/- 10 ft (3 m)","Digital elevation model (DEM) - source unspecified","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, FMUFLOW&WQ, WENRTMDL, WHOB002",1/1/1753 12:00:00 AM,8010740
"56A070","HANGMAN CREEK AT MOUTH","Channeled, flowing water","LOCATED AT THE MOUTH OF HANGMAN CREEK AT RIVERSIDE AVENUE BRIDGE IN SPOKANE",,"N","","","WA","","Spokane","Hangman","Eastern Regional Office",5,6,"17010306000006",33.19974,10/6/2017 1:26:50 PM,47.6546129466202,-117.45438020575,"Discrete monitoring point","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",42,"E",23,"NE","NE","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, JJOY0005, tist0002, tist0003",1/1/1753 12:00:00 AM,1102740
"45A070","WENATCHEE RIVER AT WENATCHEE","Channeled, flowing water","LOCATED 1.1 MILES FROM THE MOUTH OF THE WENATCHEE RIVER, 1.5 MILES NORTH OF WENATCHEE AT THE BRIDGE CROSSING HIGHWAYS 2/97",,"N","","","WA","","CHELAN","Wenatchee","Central Regional Office",8,12,"17020011018490",61.878082467,2/21/2012 12:00:00 AM,47.45874,-120.33646,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",20,"E",28,"","","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, WENRTMDL, WHOB002",1/1/1753 12:00:00 AM,4295640
"37A205","YAKIMA RIVER AT NOB HILL","Channeled, flowing water","HIGHWAY 24 BRIDGE just east of Yakima.  Nob Hill Blvd, which bisects Yakima east to west, turns into Hwy 24.  Turn north at University Pkwy on the east side of the Yakima River. Turn west at Birchfield road and proceed until the road dead ends in the park",,"N","","","WA","","Yakima","Lower Yakima","Central Regional Office",4,15,"17030003000236",84.0655,2/23/2016 2:28:42 PM,46.5815,-120.4617,"Discrete monitoring point","+/- 20 ft (6 m)","Computer map - GIS-based","",13,"N",19,"E",28,"SW","","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, PPIC0010",1/1/1753 12:00:00 AM,6494640
"48A075","METHOW RIVER NR PATEROS AT METAL BRIDGE","Channeled, flowing water","From Twisp: Go to Hwy 20 and head southeast.  Stay right at Hwy 153 intersection and drive ~27 miles to the metal girder bridge over the Methow River.  Drive across the bridge and park on left hand side of the road next to the apple orchard.",,"N","","","WA","","OKANOGAN","Methow","Central Regional Office",4,12,"17020008000040",98.79794,7/19/2012 12:00:00 AM,48.0761406823469,-119.969824214966,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",30,"N",23,"E",28,"SW","SW","",,"","","","","","","","","","AMS001, AMS001, AMS001-2, AMS001-2, AMS001E, AMS001E",6/10/2009 1:49:48 PM,29056129
"37L050","Corral Cr @ Old inland Hwy","Channeled, flowing water","Corral Cr @ Old inland Hwy",,"N","","","WA","","Benton","Lower Yakima","Central Regional Office",4,16,"17030003000515",4.12275271174792,7/20/2012 7:14:51 AM,46.2792000009422,-119.53897,"Centroid of monitoring area","+/- 40 ft (12 m)","Computer map - GIS-based","",9,"N",26,"E",10,"NE","SE","Land Surface",498.87,"FT","NAVD88","+/- 10 ft (3 m)","Digital elevation model (DEM) - source unspecified","","","","","","AMS001, AMS001-2",11/27/2018 4:29:41 PM,100084846
"34A170","PALOUSE RIVER AT PALOUSE (BRIDGE ST)","Channeled, flowing water","LOCATED AT THE HWY 27 BRIDGE (BRIDGE ST) IN PALOUSE.",,"N","","","WA","","Whitman","Palouse","Eastern Regional Office",5,9,"17060108000298",7.22466,2/16/2012 7:23:16 AM,46.90911,-117.07655,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",16,"N",45,"E",1,"NE","SE","",,"","","","","","","","","34PAL120.3","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, JICA0001",1/1/1753 12:00:00 AM,5404640
"61A070","COLUMBIA RIVER AT NORTHPORT","Channeled, flowing water","LOCATED AT THE BRIDGE CROSSING THE COLUMBIA RIVER ON STATE HIGHWAY 25, IMMEDIATELY NORTHEAST OF NORTHPORT",,"N","","","WA","","Stevens","Upper Lake Roosevelt","Eastern Regional Office",5,7,"17020001000165",38.5170207084195,7/19/2012 12:00:00 AM,48.9224113100755,-117.776649689226,"Unknown","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",40,"N",40,"E",33,"SW","SW","",,"","","","","","","","","COLUMBIARIVER","AJOH0029, AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, BHOP0002",1/1/1753 12:00:00 AM,8083320
"32A070","WALLA WALLA RIVER NEAR TOUCHET","Channeled, flowing water","LOCATED AT A PRIVATE BRIDGE THREE RIVER MILES UPSTREAM FROM US HIGHWAY 12 BRIDGE NEAR REESE",,"N","","","WA","","WALLA WALLA","Walla Walla","Eastern Regional Office",4,16,"17070102000027",1.8103057914,2/22/2012 12:00:00 AM,46.03763,-118.76638,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",7,"N",32,"E",35,"SE","SE","",,"","","","","","","","","WALLAWALLARIVER","AMS001, AMS001, AMS001-2, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001D, AMS001E, AMS001E, AMS004, AMS005, BHOP0002, JROS0025",1/1/1753 12:00:00 AM,2053640
